"Timestamp","Total score","In a paragraph, explain how Buddhism and Confucianism influenced the development of Chinese governments in the period from 1200 to 1450. ","In a paragraph, explain how Buddhism and Confucianism influenced the development of Chinese governments in the period from 1200 to 1450.  [Score]","In a paragraph, explain how Buddhism and Confucianism influenced the development of Chinese governments in the period from 1200 to 1450.  [Feedback]","In three paragraphs, explain how developments in China and other parts of East Asia between c 1200 and c. 1450 reflect continuity, innovation, and diversity. ","In three paragraphs, explain how developments in China and other parts of East Asia between c 1200 and c. 1450 reflect continuity, innovation, and diversity.  [Score]","In three paragraphs, explain how developments in China and other parts of East Asia between c 1200 and c. 1450 reflect continuity, innovation, and diversity.  [Feedback]"
"2021/09/02 8:20:08 PM AST","0.00 / 100","           During the Sui Dynasty, Confucianism shape and organize the chinses government and religion.It caused the creation of the imperial Confucian examination system.Tang Dynasty overtook the Sui Dynasty from 618 to 907 CE. Later, they tookover the Confucianism religion and removed some spiritual and mystical elements of Confucianism made Taoism and Buddhism. Buddhism became the main religion for the tang dynasty. Then Emperor Wuzong (840-846),  destroyed the religion by persecuting, confiscating, and destroying Buddhist temples, monks, and relics. Buddhism came from india made a new form of Buddhism.



","-- / 40","","           The Song Dynasty was the Chinese golden age. They had cultural, academic, technological, literary, economic, and militaristic innovations. They also made state-endorsed commercial practices that focused on merchant exchanges and the production of goods for profit. Chinese population, land, and economics thrive. Chinese iron and
steel production increased. The Song Dynasty was the first to use paper money and did practices that encourage and stabilize trade. Chinese innovators discovered gunpowder and invented the true north compass. Accompanying the widespread printing of paper money was the beginnings of what one might term an early Chinese industrial revolution in the steel and iron industries.

They continued the production of goods along with iron and steel increasing. The Chinese emperor and officials saw themselves as the greatest civilization on earth. Needing nothing from other civilizations, they required submission and tribute from any kingdoms that wanted to trade with the Song. Later, a tribute system had developed in China needed for trade and annual tributes from neighboring states like Korea, Japan, etc. They did not want to go to war with China. Despite their successes, the legacy of the Song Dynasty, and Chinese culture at the time, remains controversial.

Later, foot binding became popular for upper-class Chinese women. Upper-class Chinese women to have their feet broken while young and squeezed lotus shoes as a sign of beauty
The Song struggled to maintain the integrity of their northern borders  where the
Jurchen-led Jin Dynasty was causing them to start losing northern China. After losing northern China, the Song Dynasty lost territory to Mongolian forces
In 1279, the Mongolian-led Yuan Dynasty conquered the Song Dynasty.








","-- / 60",""
"2021/09/02 8:40:46 PM AST","0.00 / 100","Buddhism was introduced into China through the Silk Roads from India. Leaders of other religions were getting jealous of how widespread Buddhism was becoming. Buddhism eventually started influencing other religions such as Taoism and Buddhism itself started to branch out. Others were influenced by the teachings of the Buddha such as the Eight-Fold Path and the Four Noble Truths. Taoism and Buddhism were widely spread in China and since Taoism is inspired by Buddhism, people started adhering to the same beliefs.","-- / 40","","The Mongols are a very big reason on why China developed. They conquered many lands and created the largest empire in history. The unity of the territories was costly, but it let trade and technology flourish. Continuity is not an aspect that was kept during these times due to how much China and other parts of Asia were growing at this time after the Mongols wiped out much while conquering the lands. New technology was also being developed at this time in age.
Under the Mongolian rule, new technology and trade was pumping out at a rapid pace. New ideas started to become widespread too. Religion was becoming a widespread topic in Asia as well and new ideals for religion were being known and shown. Innovations were just about everywhere and were being put out by different people by the second. Other places in Asia were also being influenced by these innovations, not just China.
Diversity was very widespread all across Asia. The Mongols created one big unity of Asia and other ideals were passed around. Countries like Korea and Japan had already been heavily inspired by the Chinese culture. Religions were also being made and developed heavily around these times. Taoism and Buddhism became very popular, especially in China.
Diversity was strong all across Asia and China and remains to be very diverse in cultures and ideals up to this very day.","-- / 60",""
"2021/09/02 9:31:25 PM AST","0.00 / 100","Buddhism and Confucianism influenced the development of Chinese governments in the period from 1200 to 1450 by abstracting new beliefs and ethics. During this era, Buddhism became super popular. Because of its popularity, some of its ideas were shared and adopted by   Confucianism. Since Confucianism is a base in Chinese government, Buddhism ideas were being promoted by the government. Its ideas can be later seen in different forms of art, statuary and literature. ","-- / 40","","The developments in China and other parts of East Asia between c 1200 and c. 1450 reflect continuity because even though there were developments, some parts of China did continue to stay the same. For example, the Song dynasty still preferred Confucianism. Confucianism was apart of their everyday lives due to the native traditions. As time when on, Confucianism expanded and it emphasized ethics and morals rather than gods. Also,  the trading system stayed the same, they used roads, ships and travel to trade. As time went on, this stayed the same, some improvements were later developed. 

Innovation was reflected off of the developments in China and other parts of East Asia because as time progressed so did creative thinking. Many people started to invent and learn how to do more crafts, arts and creative pieces. For example, gunpowder had already been around for many years but the Song dynasty made the first guns. This new process of thinking was very useful and it continued for generations. Guns are still used today along with improvements made to it. Steel was also made in China, they used it for many things and this was eventually adopted into many parts of the world. 

The developments in China and other parts of East Asia between c 1200 and c. 1450 reflect diversity because many people started to move to China during this era. Due to the agricultural success, an excessive amount of food was produced which caused many different people to move. During this time, population increased 15% of the total world. Also, the silk road trade allowed for people to come and spread different religions like Buddhism. Religious diversity was huge at this time as well. Many people believed in Buddhism, Confucianism or both. This caused many problems in dynasties because the Chinese dynasties wanted to stick with Confucianism because it was native to them. Later, Buddhism ideas were adopted into Confucianism. ","-- / 60",""
"2021/09/02 10:20:25 PM AST","0.00 / 100","Buddhism had a very strong impact in the development of Chinese governments by shaping it together and making it a better country. Confucianism became a huge part on educational and school because of the exam they had to pass for employment. It also help create well educated and train government officials. The confucianism system help china make a well organize country that still stands cause of it.","-- / 40","","Well developments in china between c. 1200 and c. 1450 have made a tremendous impact for the Chinese. Let's get into how continuity developed china back then and what it did. Continuity made it easy for the Chinese because it was sort of a flow for the changes that were happening. For example china was giving jobs to the poor man and improving economic.

  How did the developments in china reflect among innovation you may ask.Well started to alternate such as how there were various forms government that were never there. But one of the most important ones was the economy, agriculture, production, and trade was going better than ever . These developments had an important impact on the innovation of china.

  Let's see how diversity reflects on the developments of china. With all these changes would think who ever made them would have some diversity to make them. For example china got more diverse when buddhism and other religious were introduced into china. This just shows how changes can make you think if its right to do or not right to do.","-- / 60",""
"2021/09/02 10:34:57 PM AST","0.00 / 100","Buddhism's influence allow greater egalitarianism in China, even though it is patriarchal. In Tang China, they demolished and banned many buddhist shrines and temples for Tang profit. They also opposed Buddhism's social opposition of Confucian hierarchy and social structure. Han Yu promotes Neo Confucianism(a renewed focus on Confucianism), reinforced in Song Dynasty with examination systems and spread to Korea and Japan.","-- / 40","","Even when a new Dynasty came about, they would continue some of the practices of the last dynasty. For example, even after the Han Dynasty was over, others still used the practice of the tribute system. Other practices might've been practices to keep another person down. Like, the practice of foot binding was a practice used for the purpose of having women be more dependent on men. This practice was even used up until the 20th century.

In Tang China, Buddhism was no longer the praised religion. As they began banning and demolishing many Buddhist shrines and temples for Tang profit. Han Yu opposed Buddhism's social opposition of confucian hierarchy and social structure. He also promoted Neo Confucianism, which is a renewed focus on Confucianism. So, they moved from Buddhism to Neo Confucianism.

Chinese Diaspora where thousands of Chinese traders disperse across East and Southeast Asia, forming Chinese-based trade cities and settlements, such as Singapore, spreading Chinese influence and power. Zheng He led a massive Chinese fleet around the Indian Ocean and Africa to demonstrate Chinese power, influence, collect and provide gifts. He brought back many exotic goods and animals to China.","-- / 60",""
"2021/09/03 8:15:30 AM AST","0.00 / 100","Confucianism influenced development of Chinese government because since it was required to be learned in order to get a job it spread through a lot of men. Since they were offering and hiring up so many people it was getting harder and harder to pay everyone their handsomely amount. So the increases of cost of the government almost completely dried up all of China's wealth. Buddhism also influenced the development of Chinese governments, people started swaying away from Chinese religions and cultures and switched to Buddhism. This led to less followers under the government which caused major concerns and they weren't that accepting of this new religion.","-- / 40","","All throughout the Song Dynasty innovations were always coming up. They has made the first guns and after many years of handling gun powder they used it in a different way for the guns. The Chinese also innovated paper and printing and they were also the first culture to use wood blocking. The Chinese had also done many experiments o figure out where rice can be grown and in order to fully develop rice in areas. The Chinese weren’t the only ones innovating though, in this time period  A Japanese writer had made the world’s first novel called “The Tale of Genji”. 

The Chinese had many religious diversities, the bringing of the different forms of Buddhism, there also was daoism, Theravada, Mahayana, and  Tibetan Buddhism. There were other diversities even in between the other countries like Japan, Korea, and Vietnam. in the 15th century, Korea had made their own writing style since their language ti started to change and differ from the Chinese language. The Vietnamese also follows many things from the Chinese but their culture differed. For example the women in the Vietnamese wanted more independent in marriage then of the women in Chinese marriages. Additionally, although Japan was very similar to the Chinese they were also similar to the Europeans. The Daimyo in comparison to the feudalism in Europe’s, liked more power and they were even more powerful then an emperor or a shogun.

      When the Song dynasty replaced the Tang Dynasty, they lasted over 3 centuries. This demonstrates continuity. The arts of Song Dynasty, flourished as well as the region. Not only that but the Chinese culture also flourished through other countries surrounding them.  The Japan, Vietnamese, and the Korean had followed the cultures, religions, and languages of the Chinese but started making new different cultures of their own. They were able to keep most of the Chinese practices continued and that’s how the Chinese was able to have the most continuity of them all.

        ","-- / 60",""
"2021/09/03 8:38:56 AM AST","0.00 / 100","Buddhism was one of the most popular religions as well as Confucianism. Both of these religions had a major impact on society since they were the most practiced. They started to have an impact on the government with things such as the arts, the literature, and the architecture. Also the Chinese were more open to more religions after the fall of the Han Dynasty, and Buddhism was more focused on meditation rather than strict learning. So, the popularity of them helped change most of the basic ways of living and the beliefs. ","-- / 40","","     In the beginning, only the men in higher class were offered chances at jobs. That was changed after a while which helped the diversity become greater in the work forces. There was a slight improvement in the trades and agriculture. There was also a very improved industrial manufacture. This also helped the Chinese become more open-minded towards the new religions and cultures. 
      Additionally, China became more innovative and started to produce and learn to produce new things. They invented all sorts of different things that varied in size and use. One of these things being gunpowder, this along with more things raised their amount of trades tremendously. Some other things were champs-rice and things made of steel. This helped China become of one the most commercialized cites. 
     Finally, on continuity, the Chinese remained with the same mind set of how the government would operate. The same thing happened across many dynasties. They showed continuity not only through the dynasties but throughout many centuries to come for them. That is how Chinese and other parts East Asia helped reflect on continuity, innovation, and diversity between the 1200's - 1450's. -","-- / 60",""
"2021/09/04 8:47:52 AM AST","0.00 / 100","Neo-Confucian teachings shaped social classes, China’s government, and the family system. The roles that women played were based on the Confucian religion that taught that they were inferior to men. Confucian teachings were a huge part of the civil service exam that allowed lower classes opportunities for better jobs. A new social class was implemented called scholar gentries, they were educated in Confucian philosophies and became the most influential class in China.","-- / 40","","The Song’s reign was very successful even though they lost their land to the Northern lands. The imperial bureaucracy was a wide organization that elected officials to carry out the empire’s polices. They invented the civil service exam to give lower classes opportunities for better jobs. Since the system had been in place since the Qin Dynasty the continuity gave it more strength.

Innovations in China had a huge role to play in China’s rise. The Tang flourished because of new inventions that led to bigger and better things. Development in roads, agriculture, and canals allowed for China’s trade to increase. Champa rice led to the population growing and the grand canal allowed for them to become the most populous trading place.

Diversity in China was mainly explored in religion. In between Han and Sui dynasties Buddhism rose with the help of the Silk Road and a monk Xuanzang. The Tang didn’t like the uprise in a new and foreign religion so they resorted to destroying temples in order to erase Buddhism from China. But Buddhism was already too big so during the Song’s rule instead getting rid of the religion they decided to just emphasize Confucianism. It flourished so much that they decided to invent a new syncretic system with Doaist and Buddhism teachings called Neo-Confucianism.","-- / 60",""
"2021/09/06 9:36:58 PM AST","0.00 / 100","Buddhism and Confucianism influenced the development of Chinese governments in the period from 1200 to 1450 because the three types of Buddhism came to China from its birthplace in India and all had different purposes. The three types were Theravada Buddhism which focused on personal spiritual growth through silent meditation and self-discipline, Mahayana Buddhism which focused on spiritual growth for all beings and on service, and Tibetan Buddhism which focused on chanting. Buddhism was spread all over China and changed the way they thought and the things they believed in. Monks were the one who introduced Buddhism to the Chinese by relating its beliefs to Daoist principles. Eventually Buddhism became very popular in China and Monasteries were built in most major cities.  ","-- / 40","","China began to provide the opportunities for lower-class men, improved agricultural work, encouraged trade, boosted industrial production, became more open to diverse religions, and developed a variety of government structures. China's imperial bureaucracy demonstrated continuity between dynasties, as it has been a key component of the country since the Qin dynasty and has served to strengthen the country throughout the years. As roads and canals were renovated and technology was introduced, China grew more inventive. China became the most commercialized city in the world thanks to inventions like gunpowder and Champa-rice, as well as the utilization of steel and other products to enhance production and trade.","-- / 60",""
"2021/09/07 2:17:24 PM AST","0.00 / 100","Buddhism had also influenced Taoism with its structure, which Taoists copied and modified. As Buddhism became more of a widespread, its variety of concepts merged with Taoist and Confucian  to become the basis of ancient Chinese society and government. Its influence is seen today in Chinese art, architecture, and literature because of Buddhism.","-- / 40","","China soon began to offer opportunities to men of lower-classes, which improved on agricultural exertion, promoted trade, an escalated industrial production, and had become more openminded towards different religions, and the development of various forms of government.

China’s main interests and conflicts have resided from the region, wars that happened with Japan in 1894 and 1931-1945, the Korean war that was from 1950-1953, its incursion into Vietnam in 1979, border clashes with the soviet union in 1969, and a war that took place with India in 1962.

China’s relationship with the nations of the region really began in 1978, when Deng Xiaoping made the decision to begin the process of reform and the opening up of China after 30 years of isolation.","-- / 60",""
"2021/09/07 2:21:37 PM AST","0.00 / 100","Buddhism had influenced Taoism with their establishment. The taoists was inspired by the buddhists, therefore they copied and alter it to the way they see fit. Eventually their concepts merged together to create ancient china's culture.","-- / 40","","The Mongols established the Yuan dynasty (1279-1368), ending the reigns of the Song, Liao, Jin dynasties. It rules people with various cultural and social backgrounds, the political institution was not a continuation of previous administrations. For unity under the Mongol ruler, the Mongol empire established a new philosophy that still impacts china today. 

It wasn't out of the ordinary throughout global history for the ruler to play several roles for different people. The Parthian Empire, which existed at the time of the Han Dynasty, had already established such an organization. Deng Xiaoping may not have been aware of such historical antecedents when he suggested ""one country, two systems.""

It should be emphasized that, while Chinese genealogy books frequently claim ancestry dating back over a thousand years, particular names do not appear until the 1300s. As a result, there is likely little genetic continuity. Few Chinese people alive now had Han or Tang, ancestors.","-- / 60",""
